Model,Accuracy,Recall,F1-Score,Precision
SVM,1.0,1.0,1.0,1.0
Decision Tree,0.9999220876069208,1.0,0.9999607783810437,0.9999215598386374
Random Forest,0.9999554786325262,1.0,0.9999775872695691,0.9999551755437767
